Feature ID	KD001	KD002	KD003	KD004	KD005	KD006	KD007	KD008	KD009	KD010	KD011	KD012	KD013	KD014	KD015	KD016	KD017	KD018	KD019	KD020	KD021	KD022	KD023	KD024	KD025	KD026	KD027	KD028	KD029	KD030	KD031	KD032	KD033	KD034	KD035	KD036	KD037	KD038	KD039	KD040	KD041	KD042	KD043	KD044	KD045	KD046	KD047	KD048	KD049	KD050	KD051	KD052	KD053	KD054	KD055	KD056	KD057	KD058	KD059	KD060	KD061
c2c9d37c184935fe0f8a889e7105c241	0	0	0	0	0	0	0	0	0	446	645	95	1009	1021	283	2851	255	151	0	0	0	0	0	195	0	0	0	0	0	0	0	0	42	0	0	0	140	132	35	460	31	244	134	539	73	0	0	0	0	0	0	0	0	0	0	0	0	0	696	660	0
2ae97aa780e74cb712a0ae2b285ff415	0	0	0	0	0	0	0	1707	32	0	280	85	449	281	0	386	23	0	0	814	0	0	163	0	343	0	150	1174	0	87	0	214	129	466	33	17	0	34	0	237	61	131	46	236	35	0	771	0	0	110	0	268	0	206	96	0	120	180	316	406	0
de689038d335b0e895f90f08f59c3ab1	0	0	0	0	0	0	230	791	8	141	218	0	508	500	106	853	145	0	98	0	0	57	65	655	0	0	0	734	0	0	75	299	72	286	0	0	84	24	26	199	0	150	41	166	32	177	264	0	0	27	37	357	0	603	0	400	42	261	702	447	0
33ea9f7df7a02a6f06fb9700ed440401	0	0	48	0	0	34	891	842	11	109	595	61	736	559	66	705	25	0	0	235	0	62	0	89	223	217	303	738	15	0	90	177	0	167	14	0	73	0	0	238	0	108	27	228	58	0	469	0	0	0	0	645	10	0	68	0	188	147	344	199	0
ecb3759e804e8c86d9fb0de817207fe9	0	0	73	0	25	27	538	570	0	129	553	79	667	299	154	748	97	0	0	0	54	151	243	0	356	0	189	235	0	0	35	138	88	114	0	0	95	70	30	287	67	182	63	344	90	52	312	0	0	40	0	1475	47	398	16	0	420	136	20	0	0
c130ff4bc4f4b06b3e42f5c64b6ee6a0	0	0	0	0	36	0	239	840	0	86	529	0	605	386	107	641	13	0	0	571	0	0	80	215	166	0	18	880	0	109	0	96	61	320	73	0	54	60	29	158	27	95	65	154	110	41	488	0	0	65	48	588	0	431	42	239	245	24	258	126	0
5b57f5fa91dc4ba08ae9af2e6147d7aa	11	15	205	0	163	27	526	250	48	63	0	0	35	28	14	0	0	224	114	0	0	0	0	0	0	0	0	623	67	379	484	223	204	0	1098	56	0	15	0	0	58	0	0	50	27	79	63	9	0	0	0	0	0	133	1161	1481	145	0	552	0	0
6f1cbae792de3e1162d3d7dffbe4bb20	0	0	0	0	20	165	0	673	35	43	724	16	424	270	45	490	0	0	0	166	0	40	81	142	294	0	106	588	0	32	0	177	147	145	48	20	29	60	16	220	16	93	76	203	37	0	335	0	0	26	0	218	30	701	0	457	683	18	344	97	0
91c6bd1773aaec302882b43aff6babc4	0	0	0	0	0	337	0	245	0	0	262	0	506	355	73	485	0	0	0	460	56	81	34	171	534	0	0	778	0	186	0	113	136	360	0	0	134	46	23	210	0	104	0	155	55	0	642	81	0	95	0	645	0	0	57	0	296	322	166	201	0
bd2ad00d586fbb853586dae6812f7b24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3650	0	3561	0	1169	0	0
